Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABM1382703,A331721194314491,TCABM1382703,"My Bonny (Feat. J-J-X)",none,none,"Kairal",none,"","",,"",no status
TCABM1300154,A639881589059025,TCABM1300154,"My Bunny",none,none,"J-J-X",none,"","",,"",no status
TCAAU1120687,A245663255193390,TCAAU1120687,"My Ireland (A Declaration)",none,none,"Mikel Oldfield",none,"","",,"",no status
TCABA1148492,A643877092070594,TCABA1148492,"Nachtfahrt",none,none,"Kairal",none,"","",,"",no status
TCABS1375925,A667052393511792,TCABS1375925,"Nachtfahrt Deutschland",none,none,"Kairal",none,"","",,"",no status
TCABN1329354,A955894381480884,TCABN1329354,"Natural Pre:Sleep (feat. Green C◍.)",none,859709883434,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1408767,A436168636775668,TCABW1408767,"Never Get Married",none,none,"Kairal",none,"","",,"",no status
TCABL1373044,A610075353325873,TCABL1373044,"New Mami",none,none,"Kairal",none,"","",,"",no status
TCABD1245840,A706471110635523,TCABD1245840,"Next Time Illusion",none,none,"J.J. Moody",none,"","",,"",no status
TCABP1300607,A172415511209158,TCABP1300607,"Nicht Zu Kaufen (feat. Hermano)",none,859710870492,"Budokhan",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1381948,A169715951017803,TCABM1381948,"Niemandsland",none,859709760797,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABN1362888,A217825107802599,TCABN1362888,"Not Guilty",none,none,"Kairal & Friends",none,"","",,"",no status
TCABS1378267,A618223595655929,TCABS1378267,"Not In Love",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABD1245786,A143281229636666,TCABD1245786,"Not That Man",none,none,"J.J. Moodie",none,"","",,"",no status
TCABM1386535,A911931109219643,TCABM1386535,"Nu, Mami?",none,859709771939,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1384225,A172917621581793,TCABS1384225,"Observatoria",none,none,"L.S.D Kairal",none,"","",,"",no status
